date,open,high,low,close,volume,ex_rate,
20171115,2525.6,2526.61,2511.76,2518.25,398215,1112.3,
20171114,2532.55,2532.95,2520.99,2526.64,287771,1118.1,
20171113,2548.27,2552.28,2527.2,2530.35,266530,1120.6,
20171110,2541.18,2547.61,2534.6,2542.95,291525,1117.1,
20171109,2559.93,2559.93,2536.54,2550.57,293539,1115.6,
20171108,2534.48,2558.74,2533.73,2552.4,277039,1115.6,
20171107,2548.3,2554.13,2540.67,2545.44,253921,1111.9,
20171106,2557.29,2559.9,2529.94,2549.41,221187,1115,
20171103,2558.37,2558.37,2539.72,2557.97,292766,1113.8,
20171102,2560.34,2561.63,2542.02,2546.36,527727,1114.4,
20171101,2535.97,2556.47,2535.83,2556.47,361796,1114.5,
20171031,2500.21,2528.32,2498.05,2523.43,313787,1120.3,
